Maquina,Code_pf,Producto,base,Tipo,pots_uc,pots,lots,UC_Palet,Vasos_Palet,Code_Article,Description,Family,Cliente
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,90069383,PK2X125 ES LLCH DPV TOFFEE,EA,LECHERAS
B,10398,LL Toffee 2x125g,33-LA LECHERA TOFFEE,Postres,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90069384,PK2X125 ES LLCH DPV TRUFA,EA,LECHERAS
B,10399,LL Trufa 2x125g,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,90094458,PK2X125 ES LLCH YPV CIT,EA,LECHERAS
B,10432,LL  Yog sabor limon 2x125g,2202-LECHERA AROMA LIMON,Firme,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,90094454,PK2X125 ES LLCH YPV NAT SUC,EA,LECHERAS
B,10437,LL  Yog natural azuc 2x125g,22-LA LECHERA AZUCARADA,Firme,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,90094455,PK2X125 ES LLCH YPV FRA,EA,LECHERAS
B,10438,LL  Yog sabor fresa 2x125g,2201-LECHERA AROMA FRESA,Firme,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90069381,PK2X125 ES LLCH DPV GALET MAR,EA,LONGA VIDA
B,11137,LLECH PV Galleta Maria 2X125,43-LA LECHERA GALLETA,Postres,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90069384,PK2X125 ES LLCH DPV TRUFA,EA,LONGA VIDA
B,11138,LLECH PV Delicias Trufa 2x125,34-LA LECHERA TRUFA,Postres,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LONGA VIDA
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90087695,PK2X125 ES LLCH YPV PC FRA,EA,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90092858,FRAISE 24801 - CONT 400KG,IF,LECHERAS
B,140078,LL Panna Cotta conFresa 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,9004617,ETIQUETA 100X100,EO,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,9004619,ETIQUETA 100X 50 mm A51457,EO,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,9004620,RIBBON 100x50mm Markem A46896,EO,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90032245,INT YAG,EN,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90051854,DCP X12 ES/PT PV New,EB,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90087694,PK2X125 ES LLCH YPV PC CARA,EA,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90090804,CARAMEL PNLE - CONT 500KG,IF,LECHERAS
B,140079,LL Panna Cotta Caramelo 2x125g,52-PANACOTTA,Postres,2.0,12.0,6.0,1836,3672,90098862,OP125 ES LLCH YPV COMMUN,EH,LECHERAS
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,3803113,RIBON A26018 100X100,EO,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,8194756,PALETA CHEP 80X120 PORTUGAL,EL,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,9004617,ETIQUETA 100X100,EO,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,81252780,POT VERRE 125G LISSE UNIQUE,EV,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,81846696,RIBBON ETIQ.MARKE RIC450150E02,FO,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,90005669,ETQ.BLC 148x210 RLX2000 - 2629,FO,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,90029310,ADVANTRA 9256HT- 25KG,EC,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,90032245,INT YAG,EN,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,90099870,OP PV ALUT DORE - LZE 68.3,EH,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,90109498,PK2X125 PT SONAE YPV NAT SUC,EA,SONAE
B,140299,SONAE IOG VIDRO NAT ACU 2x125G,6600 - CREMOSO OSO,Batido,2.0,24.0,12.0,1836,3672,90110641,DCPX24 PT SONAE YPV U,EB,SONAE
B,140300,SONAE IOG VIDRO AMORA 2x125g,6600 - CREMOSO OSO,Batido,2.0,24.0,6.0,1836,3672,2936366,FILM ESTú AUTú 50CMSú 15MY,EF,SONAE
B,140300,SONAE IOG VIDRO AMORA 2x125g,6600 - CREMOSO OSO,Batido,2.0,24.0,6.0,1836,3672,3803113,RIBON A26018 100X100,EO,SONAE
